,Name,Product mz,Charge,QqQ Optimized CE,HRMS Optimized CE (converted),HRMS Optimized CE (unconverted)
0,Adenine,119.0,1,24.0,21.65465515842424,40.0
1,Adenosine,136.1,1,16.0,19.23560836873381,30.0
2,Adenosine,119.0,1,40.0,40.21655583420128,80.0
4,cAMP,135.9,1,24.0,24.265653907071034,40.0
5,Arginine,70.0,1,28.0,22.180321596996,40.0
6,Arginine,60.0,1,16.0,13.787942610809006,20.0
7,Asparagine,87.0,1,20.0,13.221885897291179,20.0
8,Asparagine,74.0,1,10.0,17.418075390384672,30.0
11,cGMP,152.0,1,24.0,18.186643466836568,25.0
12,cGMP,135.0,1,40.0,37.0694961857573,70.0
13,Cystine,120.0,1,23.0,18.87123700145107,30.0
14,Cystine,74.0,1,32.0,23.067426494544566,40.0
15,Cytidine,111.9,1,16.0,14.716254145967262,20.0
16,Dopamine,137.0,1,8.0,13.504866003915744,20.0
17,Dopamine,91.0,1,24.0,26.093434483196226,50.0
19,Glutamate,84.0,1,16.0,17.619954356266273,30.0
20,Glutamate,56.1,1,40.0,30.20852283554676,60.0
21,Glutamine,130.0,1,10.0,9.214331549381443,10.0
22,Glutamine,84.0,1,20.0,17.606710535568432,30.0
23,Guanosine,152.0,1,16.0,17.352787417555174,25.0
24,Guanosine,135.0,1,40.0,36.23564013647591,70.0
25,Histamine,95.0,1,12.0,15.037695921918086,25.0
26,Histidine,110.0,1,16.0,13.531655662888776,20.0
27,Histidine,83.0,1,28.0,26.12022414216926,50.0
28,Homocystine,136.0,1,8.0,10.856128305631604,10.0
29,Homocystine,88.0,1,40.0,31.837075771099077,60.0
30,Isoleucine,86.0,1,8.0,15.307075448908622,25.0
31,Lysine,130.0,1,8.0,9.214821318527594,10.0
32,Lysine,84.0,1,16.0,17.607200304714578,30.0
33,Leucine,86.0,1,8.0,13.208980702361874,20.0
34,Methionine,103.9,1,8.0,9.254464759455534,10.0
35,Methionine,56.0,1,16.0,17.64684374564252,30.0
36,NAD,428.0,1,24.0,22.467401981107546,25.0
37,NAD,136.0,1,40.0,32.95787571384127,50.0
38,Phenylalanine,120.0,1,12.0,13.666372460591118,20.0
39,Phenylalanine,103.0,1,32.0,26.254940939871602,50.0
40,Proline,70.1,1,20.0,17.1894066309411,30.0
41,S-Adenosylmethionine,250.1,1,12.0,16.803078836062422,20.0
42,S-Adenosylmethionine,136.0,1,28.0,25.195457822249413,40.0
43,Selenomethionine,180.9,1,8.0,9.899743967481196,10.0
44,Selenomethionine,56.1,1,20.0,22.48831244676168,40.0
45,Serine,60.0,1,10.0,12.858349148315634,20.0
46,Serotonine,159.9,1,8.0,13.814635406123207,20.0
48,Tryptophan,188.0,1,8.0,9.995226496161994,10.0
49,Tryptophan,146.0,1,20.0,18.38760548234898,30.0
50,Uracil,70.0,1,20.0,19.246639502902287,35.0
51,Uridine,113.0,1,20.0,14.729498020500682,20.0
52,Uridine,70.0,1,40.0,35.710445485968144,70.0
53,Valine,72.0,1,10.0,15.118440303724864,25.0
54,Valine,55.0,1,20.0,21.41272454336511,40.0
55,Acetyl-CoA,461.1,-1,40.0,26.503605674652533,30.0
56,Acetyl-CoA,408.0,-1,40.0,26.503605674652533,30.0
57,cis-Aconitate,129.0,-1,4.0,9.563357651202898,10.0
58,cis-Aconitate,84.9,-1,12.0,13.759547144296393,20.0
59,Adenine,106.9,-1,20.0,17.43135202386565,30.0
60,Adenine,92.0,-1,20.0,21.62754151695914,40.0
61,Adenosine,134.1,-1,24.0,19.208494738035828,30.0
62,Adenosine,107.0,-1,40.0,31.797063217316317,60.0
63,cAMP,79.1,-1,40.0,41.02329823797991,80.0
64,cAMP,134.0,-1,28.0,24.23854026560593,40.0
66,ADP,79.0,-1,40.0,38.145769308356094,70.0
67,Aspartate,114.8,-1,8.0,13.20801607652393,20.0
68,Aspartate,88.1,-1,12.0,13.20801607652393,20.0
70,ATP,79.0,-1,40.0,43.418217280771906,80.0
72,Citrate,111.0,-1,10.0,14.001949358995018,20.0
73,Cystine,120.0,-1,20.0,10.451744373798993,10.0
75,Cytidine,108.9,-1,12.0,14.689140515269285,20.0
76,DHAP,97.0,-1,10.0,15.80355813355666,25.0
77,DHAP,79.0,-1,40.0,30.490221359383888,60.0
78,FBP,97.0,-1,20.0,20.189638584848176,30.0
79,FBP,78.9,-1,40.0,41.17058605031565,80.0
80,F6P,96.8,-1,12.0,14.917190747021301,20.0
81,F6P,79.0,-1,40.0,40.094327705582266,80.0
82,GN6P,96.9,-1,16.0,19.100136419416952,30.0
83,GN6P,78.9,-1,40.0,40.08108388488442,80.0
84,Glutamate,127.9,-1,8.0,13.396651221707687,20.0
85,Glutamate,101.9,-1,12.0,13.396651221707687,20.0
86,Glutamine,127.0,-1,8.0,13.383407401009846,20.0
87,G3P,79.0,-1,20.0,30.490221689126788,60.0
88,G3P,97.0,-1,20.0,15.803558463299561,25.0
89,Guanosine,132.9,-1,36.0,27.816147519590942,50.0
90,Guanosine,150.0,-1,20.0,19.42376853340395,30.0
91,G6P,96.9,-1,16.0,14.917190747021301,20.0
92,G6P,79.0,-1,40.0,40.094327705582266,80.0
94,Indole-3-acetate,130.0,-1,30.0,9.577447612366932,10.0
95,Indole-3-acetate,128.0,-1,30.0,17.969826598553922,30.0
96,Isocitrate,111.0,-1,10.0,14.001949358995018,20.0
97,Isocitrate,73.0,-1,40.0,22.394328345182007,40.0
98,Malate,115.0,-1,10.0,13.221259762632833,20.0
99,Malate,71.0,-1,20.0,17.41744925572632,30.0
102,NAD,540.1,-1,16.0,16.14600410000221,10.0
105,AKG,100.9,-1,4.0,9.186576995392588,10.0
106,AKG,57.2,-1,20.0,13.382766488486086,20.0
107,PEP,79.0,-1,16.0,13.678335296076414,20.0
108,R5P,97.0,-1,20.0,14.51328172302428,20.0
109,R5P,79.0,-1,40.0,39.69041868158525,80.0
110,Selenomethionine,94.9,-1,12.0,18.265009322970208,30.0
111,Succinate,98.9,-1,8.0,13.005985967264714,20.0
112,Succinate,73.0,-1,12.0,13.005985967264714,20.0
113,Uridine,200.0,-1,8.0,10.506194885942094,10.0
114,Uridine,109.9,-1,16.0,14.702384379035587,20.0
115,UDP-N-acetyl-GN,159.0,-1,40.0,32.17669321914013,50.0
